id,cell_type,chdir_norm,ctrl_ids,curator,geo_id,hs_gene_symbol,mm_gene_symbol,organism,pert_ids,pert_type,platform,version
gene:508,T reg,,GSM998922|GSM998923,dsurujon,GSE40655,FOXO1,Foxo1,mouse,GSM998920|GSM998921,KO,GPL1261,1.0
gene:509,heart,,GSM1080530|GSM1080531|GSM1080532|GSM1080533,dsurujon,GSE44192,PLIN5,Plin5,mouse,GSM1080534|GSM1080535|GSM1080536|GSM1080537,OE,GPL6246,1.0
gene:2349,"Inducible stable HEK 293 Flp-In T-REx cells overexpressing a hyperactive mutant (C104A/C131A) of Ero1&Icirc;&plusmn;, expression induced with doxycycline for 24 h",,GSM997725|GSM997726|GSM997727,gszeto,GSE40601,ERO1L,Ero1l,human,GSM997728|GSM997729|GSM997730,overexpressing a hyperactive mutant,GPL6244,1.0
gene:2348,"Inducible stable HEK 293 Flp-In T-REx Ero1alpha-WT cells, expression induced with doxycycline for 24 h",,GSM997719|GSM997720|GSM997721,gszeto,GSE40601,ERO1L,Ero1l,human,GSM997722|GSM997723|GSM997724,OE,GPL6244,1.0
gene:2343,OT-I T cells from spleen,,GSM1290674|GSM1290675|GSM1290676,AliDot,GSE53388,PPP2R2D,Ppp2r2d,mouse,GSM1290677|GSM1290678|GSM1290679,KD,GPL1261,1.0
gene:501,Isolated hepatocytes,,GSM432140|GSM432142|GSM432144|GSM432146|GSM432148|GSM432150|GSM432152|GSM432154|GSM432156|GSM432158|GSM432160|GSM432162,dsurujon,GSE17251,PPARA,Ppara,human,GSM432139|GSM432141|GSM432143|GSM432145|GSM432147|GSM432149|GSM432151|GSM432153|GSM432155|GSM432157|GSM432159|GSM432161,agonist activation,GPL570,1.0
gene:502,Isolated hepatocytes,,GSM432116|GSM432118|GSM432120|GSM432122|GSM432124|GSM432126|GSM432128|GSM432130|GSM432132|GSM432134|GSM432136|GSM432138,dsurujon,GSE17250,PPARA,Ppara,mouse,GSM432115|GSM432117|GSM432119|GSM432121|GSM432123|GSM432125|GSM432127|GSM432129|GSM432131|GSM432133|GSM432135|GSM432137,agonist activation,GPL1261,1.0
gene:2340,cell line: HSC-3 cell type: human tongue squamous cell carcinoma,,GSM794751|GSM794752|GSM794753,gszeto,GSE32056,PRSS2,Prss2,human,GSM794748|GSM794749|GSM794750,OE,GPL570,1.0
gene:504,LSK,,GSM153707|GSM153709|GSM153710,dsurujon,GSE6623,FOXO1,Foxo1,mouse,GSM153712|GSM153714|GSM153716,KD,GPL1261,1.0
gene:506,heart,,GSM1558461|GSM1558462|GSM1558463,dsurujon,GSE63848,AKT1,Akt1,mouse,GSM1558464|GSM1558465|GSM1558466,KO,GPL1261,1.0
gene:2344,OT-I T cells from spleen,,GSM1290674|GSM1290675|GSM1290676,AliDot,GSE53388,EGR2,Egr2,mouse,GSM1290680|GSM1290681|GSM1290682,KD,GPL1261,1.0
gene:1928,brown adipose tissue of ob/ob mice,,GSM800590|GSM800591|GSM800592|GSM800593|GSM800594|GSM800595,Andrew,GSE32316,FGFR1,Fgfr1,mouse,GSM800596|GSM800597|GSM800598|GSM800599|GSM800600|GSM800601,drugactivation,GPL1261,1.0
gene:1926,HeLa S3,,GSM796020|GSM796021|GSM796022,Andrew,GSE32108,CDK8,Cdk8,human,GSM796023|GSM796024|GSM796025|GSM796026|GSM796027|GSM796028,knockdown,GPL570,1.0
gene:1927,HeLa S3,,GSM796020|GSM796021|GSM796022,Andrew,GSE32108,CDK19,Cdk19,human,GSM796029|GSM796030|GSM796031|GSM796032|GSM796033|GSM796034,knockdown,GPL570,1.0
gene:2342,cell line: TF-1 gender: male age: 35 years disease: erythroleukemia (AML M6) siRNA Evi1,,GSM408959|GSM408960|GSM408961,gszeto,GSE16238,MECOM,Mecom,human,GSM408956|GSM408957|GSM408958,KD,GPL570,1.0
gene:2341,cell line: HTB-58 gender: male age: 65 years race: Caucasian disease: squamous cell carcinoma of the lung sirna: anti-Evi1,,GSM408953|GSM408954|GSM408955,gszeto,GSE16238,MECOM,Mecom,human,GSM408950|GSM408951|GSM408952,KD,GPL570,1.0
gene:2347,heart,,GSM360098|GSM360099|GSM360100,nbongio,GSE14411,ITGB1,Itgb1,mouse,GSM360101|GSM360102|GSM360103,KO,GPL6246,1.0
gene:2581,heart,,GSM1442228|GSM1442229|GSM1442230,MicrotaskManic,GSE59672,STUB1,Stub1,mouse,GSM1442231|GSM1442232|GSM1442233,KO,GPL1261,1.0
gene:2580,liver,,GSM1213632|GSM1213633|GSM1213634,MicrotaskManic,GSE50076,SIRT7,Sirt7,mouse,GSM1213635|GSM1213636|GSM1213637,KO,GPL8321,1.0
gene:2583,BxPC3 pancreatic adenocarcinoma cells,,GSM1539909|GSM1539910|GSM1539911|GSM1539912|GSM1539913|GSM1539915,maroulisv,GSE63072,CTNNB1,,human,GSM1539916|GSM1539917|GSM1539918|GSM1539919|GSM1539920|GSM1539921|GSM1539922|GSM1539923|GSM1539924|GSM1539925|GSM1539926|GSM1539927,KO,GPL10558,1.0
gene:2582,Regulatory T cells (Treg),,GSM1554125|GSM1554126|GSM1554127,maroulisv,GSE63625,PTEN,Pten,mouse,GSM1554128|GSM1554129|GSM1554130,KO,GPL11180,1.0
gene:2585,tetracycline inducible Ngn3 in the parental Ainv15 embryonic stem cell (ESC) line after differentiation as embryoid bodies (EB) for 3 days,,GSM85014|GSM85016,gszeto,GSE3653,NEUROG3,Neurog3,mouse,GSM85011|GSM85012,OE,GPL1261,1.0
gene:2584,Osteoclasts,,GSM1487524|GSM1487525|GSM1487526,maroulisv,GSE60761,CALCR,Calcr,mouse,GSM1487530|GSM1487531|GSM1487532,KO,GPL1261,1.0
gene:2587,Tissue: Spleen Type:  sham laparotomy Strain: C57BL/6,,GSM135736|GSM135742|GSM135743|GSM135744|GSM135745,gszeto,GSE5811,BCL2,Bcl2,mouse,GSM135731|GSM135732|GSM135733|GSM135734|GSM135735,OE,GPL339,1.0
gene:2586,Tissue: Spleen Type: Saline Strain: C57BL/6,,GSM135711|GSM135712|GSM135713|GSM135721|GSM135722,gszeto,GSE5811,BCL2,Bcl2,mouse,GSM135705|GSM135706|GSM135707|GSM135717|GSM135718,OE,GPL339,1.0
gene:2589,glioma cells,,GSM1498939|GSM1498940|GSM1498941,,GSE61178,KDR,Kdr,human,GSM1498942|GSM1498943|GSM1498944,KD,GPL10558,1.0
gene:2588,HUVEC (Human umbilical vein endothelial cells),,GSM1517967|GSM1517968|GSM1517969|GSM1517970,maroulisv,GSE61989,YAP1,Yap1,human,GSM1517971|GSM1517972|GSM1517973|GSM1517974|GSM1517975|GSM1517976|GSM1517977|GSM1517978,KD,GPL6244,1.0
gene:1852,mammary gland,,GSM72723|GSM72730|GSM72795|GSM72877,Andrew,GSE3260,FGFR1,Fgfr1,mouse,GSM72726|GSM72727|GSM72789|GSM72793|GSM72869,activemutant,GPL81,1.0
gene:1853,skin,,GSM93177|GSM93178|GSM93179|GSM93180,Andrew,GSE4066,ERBB2,Erbb2,mouse,GSM93193|GSM93194|GSM93195|GSM93196,druginhibition,GPL339,1.0
