id,cell_type,ctrl_ids,curator,disease_name,do_id,geo_id,organism,pert_ids,platform,umls_cui,version
dz:328,Muscle - Striated (Skeletal) (MMHCC),GSM4372|GSM4373|GSM4374|GSM4375|GSM4376,Joel.Dudley,Duchenne muscular dystrophy,DOID:11723,GSE466,mouse,GSM4377|GSM4378|GSM4379|GSM4380|GSM4381,GPL81,C0013264,1.0
dz:325,Ganglioneuroblastoma,GSM282582|GSM282583|GSM282587|GSM282588|GSM282589,Joel.Dudley,Nicotine addiction,,GSE11208,human,GSM282584|GSM282585|GSM282586|GSM282590|GSM282591|GSM282592,GPL570,C0028043,1.0
dz:324,Nose,GSM286649|GSM286650|GSM286651|GSM286655|GSM286656|GSM286657|GSM286658|GSM286659|GSM286660|GSM286661|GSM286662|GSM286663|GSM286664|GSM286665|GSM286666|GSM286670|GSM286671|GSM286672|GSM286673|GSM286674|GSM286675|GSM286676|GSM286677|GSM286678|GSM286685|GSM286686|GSM286687|GSM286688|GSM286689|GSM286690|GSM286694|GSM286695|GSM286696|GSM286703|GSM286704|GSM286705|GSM286721|GSM286722|GSM286723|GSM286730|GSM286731|GSM286732|GSM286733|GSM286734|GSM286735|GSM286736|GSM286737|GSM286738,Joel.Dudley,Rhinovirus infection,,GSE11348,human,GSM286646|GSM286647|GSM286648|GSM286652|GSM286653|GSM286654|GSM286667|GSM286668|GSM286669|GSM286679|GSM286680|GSM286681|GSM286682|GSM286683|GSM286684|GSM286691|GSM286692|GSM286693|GSM286697|GSM286698|GSM286699|GSM286700|GSM286701|GSM286702|GSM286706|GSM286707|GSM286708|GSM286709|GSM286710|GSM286711|GSM286712|GSM286713|GSM286714|GSM286715|GSM286716|GSM286717|GSM286718|GSM286719|GSM286720|GSM286724|GSM286725|GSM286726|GSM286727|GSM286728|GSM286729,GPL570,C0276447,1.0
dz:323,Myocardial tissue,GSM82393|GSM82394|GSM82395|GSM82396|GSM82397|GSM82398|GSM82399|GSM82400|GSM82401|GSM82402|GSM82403|GSM82404|GSM82405|GSM82406|GSM82407,Joel.Dudley,dilated cardiomyopathy,DOID:12930,GSE3586,human,GSM82408|GSM82409|GSM82410|GSM82411|GSM82412|GSM82413|GSM82414|GSM82415|GSM82416|GSM82417|GSM82418|GSM82419|GSM82420,GPL3050,C0007193,1.0
dz:322,Peripheral blood mononuclear cell,GSM66671|GSM66672|GSM66673|GSM66674|GSM66675|GSM66676|GSM66677|GSM66678|GSM66679|GSM66680|GSM66681|GSM66682|GSM66683|GSM66684|GSM66685|GSM66686|GSM66687|GSM66688|GSM66689,Joel.Dudley,bacterial infectious disease,DOID:104,GSE3026,human,GSM66617|GSM66618|GSM66619|GSM66620|GSM66621|GSM66622|GSM66623|GSM66624|GSM66625|GSM66626|GSM66627|GSM66628|GSM66629|GSM66630|GSM66631|GSM66632|GSM66633|GSM66634|GSM66635|GSM66636|GSM66637|GSM66638|GSM66639|GSM66640|GSM66641|GSM66642|GSM66643|GSM66644|GSM66645|GSM66646|GSM66647|GSM66648|GSM66649|GSM66650|GSM66651,GPL8300,C0004623,1.0
dz:321,Lung Tissue,GSM533882|GSM533883|GSM533884|GSM533885|GSM533886|GSM533887,Joel.Dudley,idiopathic interstitial pneumonia,DOID:2797,GSE21369,human,GSM533888|GSM533889|GSM533890|GSM533891|GSM533892|GSM533893|GSM533894|GSM533895|GSM533896|GSM533897|GSM533898|GSM533899|GSM533900|GSM533901|GSM533902|GSM533903|GSM533904|GSM533905|GSM533906|GSM533907|GSM533908|GSM533909|GSM533910,GPL570,C0085786,1.0
dz:320,Renal Tissue,GSM9920|GSM9921|GSM9922|GSM9923|GSM9924|GSM9925,Joel.Dudley,type 2 diabetes mellitus,DOID:9352,GSE642,mouse,GSM9926|GSM9927|GSM9928|GSM9929|GSM9930|GSM9931,GPL81,C0011860,1.0
dz:821,Back Skin (K5-Stat3C psoriasis model),GSM684702|GSM684703,cadimo,psoriasis,DOID:8893,GSE27628,mouse,GSM684700|GSM684701,GPL1261,C0033860,1.0
dz:822,Back Skin (K5-TGFbeta1 psoriasis model),GSM684707|GSM684708|GSM684709,cadimo,psoriasis,DOID:8893,GSE27628,mouse,GSM684704|GSM684705|GSM684706,GPL1261,C0033860,1.0
dz:823,Back Skin (K5-Tie2 psoriasis model),GSM684679|GSM684680|GSM684681,cadimo,psoriasis,DOID:8893,GSE27628,mouse,GSM684676|GSM684677|GSM684678,GPL1261,C0033860,1.0
dz:825,Cumulus cells cultured (Lean patients),GSM277438|GSM277439|GSM277440|GSM277441|GSM277442|GSM277443,cadimo,polycystic ovary syndrome,DOID:11612,GSE10946,human,GSM277449|GSM277450|GSM277451|GSM277452|GSM277453,GPL570,C0032460,1.0
dz:826,Cumulus cells cultured (Obese patients),GSM277444|GSM277445|GSM277446|GSM277447|GSM277448,cadimo,polycystic ovary syndrome,DOID:11612,GSE10946,human,GSM277454|GSM277455|GSM277456|GSM277457|GSM277458|GSM277459|GSM277460,GPL570,C0032460,1.0
dz:827,Bronchial epithelial cells - Female - Mild asthma,GSM1068458|GSM1068459|GSM1068460|GSM1068461|GSM1068464|GSM1068468|GSM1068472|GSM1068473|GSM1068474|GSM1068476|GSM1068477,cadimo,asthma,DOID:2841,GSE43696,human,GSM1068478|GSM1068479|GSM1068481|GSM1068482|GSM1068483|GSM1068486|GSM1068487|GSM1068488|GSM1068490|GSM1068491|GSM1068492|GSM1068493|GSM1068494|GSM1068495|GSM1068496|GSM1068498|GSM1068499|GSM1068500|GSM1068502|GSM1068503|GSM1068505|GSM1068506|GSM1068507|GSM1068508|GSM1068510|GSM1068512|GSM1068513|GSM1068514|GSM1068517|GSM1068518|GSM1068520|GSM1068521|GSM1068522|GSM1068524|GSM1068527,GPL6480,C0004096,1.0
dz:445,Lung Tissue,GSM16637|GSM16638|GSM16639,Joel.Dudley,Hemorrhagic shock,,GSE1034,rat,GSM16645|GSM16646|GSM16647|GSM16648|GSM16649|GSM16650|GSM16651|GSM16652|GSM16653|GSM16654|GSM16655|GSM16656|GSM16657|GSM16658|GSM16659|GSM16660|GSM16661|GSM16662|GSM16663|GSM16664|GSM16666|GSM16667|GSM16668,GPL968,C0036982,1.0
dz:443,Hypothalamus,GSM69461|GSM69462|GSM69463|GSM69464|GSM69465,Joel.Dudley,Dehydration,,GSE3110,rat,GSM69268|GSM69457|GSM69458|GSM69459|GSM69460,GPL1355,C0011175,1.0
dz:326,Epidermis,GSM102682|GSM102683|GSM102701|GSM102702,Joel.Dudley,melanoma,DOID:1909,GSE4587,human,GSM102691|GSM102692|GSM102695|GSM102696|GSM102700,GPL570,C0025202,1.0
dz:770,Neurons - male,GSM318428|GSM318433|GSM318436|GSM318440,cadimo,bipolar disorder,DOID:3312,GSE12679,human,GSM318432|GSM318434|GSM318435|GSM318437,GPL570,C0236780,1.0
dz:771,Skeletal muscle biopsies - long duration,GSM303205|GSM303206|GSM303207|GSM303208,cadimo,childhood type dermatomyositis,DOID:14203,GSE11971,human,GSM303190|GSM303191|GSM303192|GSM303193|GSM303194|GSM303196|GSM303197|GSM303199|GSM303200|GSM303201|GSM303203|GSM303204|GSM303209|GSM303210|GSM303211|GSM303212,GPL96,C0263666,1.0
dz:305,Synovial Membrane,GSM37430|GSM37431|GSM37432|GSM37433,Joel.Dudley,rheumatoid arthritis,DOID:7148,GSE2053,human,GSM37434|GSM37435|GSM37436|GSM37437,GPL1740,C0003873,1.0
dz:772,Skeletal muscle biopsies - short duration,GSM303205|GSM303206|GSM303207|GSM303208,cadimo,childhood type dermatomyositis,DOID:14203,GSE11971,human,GSM303195|GSM303198|GSM303202,GPL96,C0263666,1.0
dz:773,Peripheral blood monocytes,GSM287664|GSM287665|GSM287666,cadimo,familial combined hyperlipidemia,DOID:13809,GSE11393,human,GSM287667|GSM287668|GSM287669,GPL571,C0020474,1.0
dz:774,Microdissected nasopharyngeal carcinoma (NPC) tissues samples - stage T1N0,GSM312896|GSM312897|GSM312898|GSM312899|GSM312900|GSM312901|GSM312902|GSM312903|GSM312904|GSM312905,cadimo,nasopharynx carcinoma,DOID:9261,GSE12452,human,GSM312914|GSM312920|GSM312923|GSM312929|GSM312933|GSM312934,GPL570,C0238301,1.0
dz:775,Microdissected nasopharyngeal carcinoma (NPC) tissues samples - stage T1N1,GSM312896|GSM312897|GSM312898|GSM312899|GSM312900|GSM312901|GSM312902|GSM312903|GSM312904|GSM312905,cadimo,nasopharynx carcinoma,DOID:9261,GSE12452,human,GSM312906|GSM312911|GSM312912|GSM312913|GSM312916|GSM312919|GSM312921|GSM312922|GSM312924|GSM312932,GPL570,C0238301,1.0
dz:776,Microdissected nasopharyngeal carcinoma (NPC) tissues samples - stage T2N1,GSM312896|GSM312897|GSM312898|GSM312899|GSM312900|GSM312901|GSM312902|GSM312903|GSM312904|GSM312905,cadimo,nasopharynx carcinoma,DOID:9261,GSE12452,human,GSM312910|GSM312918|GSM312926|GSM312930|GSM312935,GPL570,C0238301,1.0
dz:777,Microdissected nasopharyngeal carcinoma (NPC) tissues samples - stage T2N2,GSM312896|GSM312897|GSM312898|GSM312899|GSM312900|GSM312901|GSM312902|GSM312903|GSM312904|GSM312905,cadimo,nasopharynx carcinoma,DOID:9261,GSE12452,human,GSM312907|GSM312909|GSM312915|GSM312917|GSM312927|GSM312928,GPL570,C0238301,1.0
dz:399,Uterus,GSM52672|GSM52679|GSM52681,Joel.Dudley,uterine fibroid,DOID:13223,GSE2725,human,GSM52673|GSM52674|GSM52675|GSM52676|GSM52677|GSM52678|GSM52680,GPL96,C0042133,1.0
dz:912,Wrist muscles - Extensor,GSM296836|GSM296840,cadimo,cerebral palsy,DOID:1969,GSE11686,human,GSM296826|GSM296828|GSM296830|GSM296832|GSM296834|GSM296838,GPL96,C0029806,1.0
