id,cell_type,ctrl_ids,curator,drug_name,drugbank_id,geo_id,organism,pert_ids,platform,pubchem_cid,smiles,version
drug:3639,Bone marrow Sca+ SP hematopoeitic stem cells (HSC) - 10 Day,GSM26734|GSM26735,cadimo,Fluorouracil,DB00544,GSE1559,mouse,GSM26744|GSM26745,GPL81,3385.0,C1=C(C(=O)NC(=O)N1)F,1.0
drug:3499,vastus lateralis muscle,GSM801199|GSM801201|GSM801202|GSM801204|GSM801206|GSM801208|GSM801211|GSM801212|GSM801214|GSM801216,MicrotaskManic,Resveratrol,DB02709,GSE32357,human,GSM801198|GSM801200|GSM801203|GSM801205|GSM801207|GSM801209|GSM801210|GSM801213|GSM801215|GSM801217,GPL11532,,Oc1ccc(cc1)/C=C/c1cc(O)cc(c1)O,1.0
drug:3292,lymphoblastoid cells,GSM162898|GSM162900|GSM162903,garibr01,Citalopram,DB00215,GSE7036,human,GSM162897|GSM162899|GSM162901,GPL570,2771.0,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,1.0
drug:3638,Bone marrow Sca+ SP hematopoeitic stem cells (HSC) - 6 Day,GSM26734|GSM26735,cadimo,Fluorouracil,DB00544,GSE1559,mouse,GSM26742|GSM26743,GPL81,3385.0,C1=C(C(=O)NC(=O)N1)F,1.0
drug:3475,liver,GSM1273512|GSM1273513|GSM1273514|GSM1273515,MicrotaskManic,Ethanol,DB00898,GSE52644,mouse,GSM1273500|GSM1273501|GSM1273502|GSM1273503,GPL1261,702.0,CCO,1.0
drug:3498,PBMC (peripheral blood mononuclear cells),GSM906497|GSM906498|GSM906499|GSM906500|GSM906501|GSM906502,MicrotaskManic,Resveratrol,DB02709,GSE36930,human,GSM906515|GSM906516|GSM906517|GSM906518|GSM906519|GSM906520,GPL6244,,Oc1ccc(cc1)/C=C/c1cc(O)cc(c1)O,1.0
drug:3637,Bone marrow Sca+ SP hematopoeitic stem cells (HSC) - 3 Day,GSM26734|GSM26735,cadimo,Fluorouracil,DB00544,GSE1559,mouse,GSM26740|GSM26741,GPL81,3385.0,C1=C(C(=O)NC(=O)N1)F,1.0
drug:3497,peripheral blood mononuclear cells (PBMCs),GSM906491|GSM906492|GSM906493|GSM906494|GSM906495|GSM906496,MicrotaskManic,Resveratrol,DB02709,GSE36930,human,GSM906509|GSM906510|GSM906511|GSM906512|GSM906513|GSM906514,GPL6244,,Oc1ccc(cc1)/C=C/c1cc(O)cc(c1)O,1.0
drug:3357,LUNGS of C57BL/6 males (on AIN-76A Diet) - Added to food - 10ppb,GSM279232|GSM279235|GSM279264|GSM279270|GSM279275,cadimo,Sodium arsenite,,GSE11056,mouse,GSM279230|GSM279249|GSM279258|GSM279265|GSM279273,GPL1261,443495.0,[O-][As]=O.[Na+],1.0
drug:3510,mouse embryonic fibroblast cells (MEF cells),GSM817298|GSM817299,MicrotaskManic,Vitamin c,DB00126,GSE32994,mouse,GSM817296|GSM817297,GPL6246,,OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,1.0
