disease_set,disease,experiment
abdominal obesity-metabolic syndrome,morbid obesity,dz:583
abdominal obesity-metabolic syndrome,obesity,dz:154
abdominal obesity-metabolic syndrome,obesity,dz:236
abdominal tuberculosis,tuberculosis,dz:564
absence epilepsy,epilepsy syndrome,dz:417
absence epilepsy,Generalized seizures,dz:169
absence epilepsy,progressive myoclonus epilepsy,dz:516
absence epilepsy,progressive myoclonus epilepsy,dz:517
absence epilepsy,progressive myoclonus epilepsy,dz:518
acquired metabolic disease,ankylosing spondylitis,dz:202
acquired metabolic disease,diabetic neuropathy,dz:7
acquired metabolic disease,diabetic retinopathy,dz:911
acquired metabolic disease,idiopathic pulmonary fibrosis,dz:850
acquired metabolic disease,idiopathic pulmonary fibrosis,dz:851
acquired metabolic disease,idiopathic pulmonary fibrosis,dz:867
acquired metabolic disease,idiopathic pulmonary fibrosis,dz:868
acquired metabolic disease,idiopathic pulmonary fibrosis,dz:869
acquired metabolic disease,idiopathic pulmonary fibrosis,dz:871
acquired metabolic disease,idiopathic pulmonary fibrosis,dz:872
acquired metabolic disease,idiopathic pulmonary fibrosis,dz:873
acquired metabolic disease,morbid obesity,dz:583
acquired metabolic disease,obesity,dz:154
acquired metabolic disease,obesity,dz:236
acquired metabolic disease,type 1 diabetes mellitus,dz:346
acquired metabolic disease,type 1 diabetes mellitus,dz:363
acquired metabolic disease,type 2 diabetes mellitus,dz:203
acquired metabolic disease,type 2 diabetes mellitus,dz:299
acquired metabolic disease,type 2 diabetes mellitus,dz:45
acquired metabolic disease,type 2 diabetes mellitus,dz:581
acquired metabolic disease,type 2 diabetes mellitus,dz:882
acquired metabolic disease,type 2 diabetes mellitus,dz:893
acquired metabolic disease,type 2 diabetes mellitus,dz:895
acrocephalosyndactylia,morbid obesity,dz:583
acrocephalosyndactylia,obesity,dz:154
acrocephalosyndactylia,obesity,dz:236
acute lymphocytic leukemia,chronic lymphocytic leukemia,dz:194
acute lymphocytic leukemia,chronic lymphocytic leukemia,dz:786
acute lymphocytic leukemia,Chronic Lymphocytic Leukemia (Chronic B-lymphocytic leukemia),dz:745
acute lymphocytic leukemia,precursor B lymphoblastic lymphoma/leukemia,dz:803
acute myeloid leukemia,acute myeloid leukemia,dz:782
acute myeloid leukemia,acute myeloid leukemia,dz:783
acute myocardial infarction,acute myocardial infarction,dz:1000
acute myocardial infarction,acute myocardial infarction,dz:1001
acute myocardial infarction,acute myocardial infarction,dz:1002
acute myocardial infarction,acute myocardial infarction,dz:1003
acute myocardial infarction,acute myocardial infarction,dz:1004
acute myocardial infarction,acute myocardial infarction,dz:1005
acute myocardial infarction,acute myocardial infarction,dz:510
acute myocarditis,acute myocarditis,dz:802
acute myocarditis,Septic Shock,dz:307
adenocarcinoma,anaplastic thyroid carcinoma,dz:654
adenocarcinoma,Barrett's esophagus,dz:453
adenocarcinoma,Barrett's esophagus,dz:596
adenocarcinoma,Barrett's esophagus,dz:643
adenocarcinoma,breast adenocarcinoma,dz:1071
adenocarcinoma,cervical cancer,dz:617
adenocarcinoma,cervical cancer,dz:619
adenocarcinoma,colorectal adenocarcinoma,dz:1070
adenocarcinoma,colorectal adenocarcinoma,dz:595
adenocarcinoma,endometrial cancer,dz:838
adenocarcinoma,endometrial cancer,dz:839
adenocarcinoma,endometrial cancer,dz:840
adenocarcinoma,endometrial cancer,dz:841
adenocarcinoma,endometrial cancer,dz:842
adenocarcinoma,endometrial cancer,dz:843
adenocarcinoma,endometrial cancer,dz:844
