mgi_symbol,hgnc_symbol
mt-Nd5,MT-ND5
Ilf3,ILF3
Ptgdr,PTGDR
Armcx6,ARMCX6
9530068E07Rik,C5orf15
Grin2d,GRIN2D
mt-Nd1,MT-ND1
Cd99l2,CD99L2
mt-Co2,MT-CO2
Tspyl4,TSPYL4
Cldn3,CLDN3
mt-Nd4,MT-ND4
mt-Atp8,MT-ATP8
Cst10,CST2
Ptger2,PTGER2
Npm3,NPM3
Ceacam1,PSG9
mt-Cytb,MT-CYB
Ndrg3,NDRG3
Chst14,CHST14
Tmem245,TMEM245
Zfp704,ZNF704
Sectm1a,SECTM1
mt-Nd3,MT-ND3
Dthd1,DTHD1
3110043O21Rik,C9orf72
mt-Nd4l,MT-ND4L
Fhl5,FHL5
mt-Co1,MT-CO1
Ocm,OCM
Olfr1001-ps1,OR5G3
Ceacam2,PSG9
Csnk1g2,CSNK1G2
mt-Nd2,MT-ND2
Pfkfb1,PFKFB1
Poc5,POC5
Fgf16,FGF16
Sacs,SACS
Ceacam10,PSG9
Gpbar1,GPBAR1
mt-Co3,MT-CO3
Ube2j1,UBE2J1
mt-Nd6,MT-ND6
Abcg4,ABCG4
Prr3,PRR3
Sectm1b,SECTM1
Mrpl44,MRPL44
Kcnk9,KCNK9
mt-Atp6,MT-ATP6
Vegfa,VEGFA
Upf1,UPF1
Smim19,SMIM19
Ccdc32,CCDC32
Cchcr1,CCHCR1
Slc20a2,SLC20A2
Cdk5rap1,CDK5RAP1
Eci1,ECI1
Srms,SRMS
Dgcr2,DGCR2
Fam160b1,FAM160B1
4930447C04Rik,C14orf39
Nme6,NME6
S1pr4,S1PR4
Gnl1,GNL1
Ube2v1,UBE2V1
Prps1l1,PRPS1L1
Lgals1,LGALS1
Rhobtb3,RHOBTB3
Cst10,CST5
Tmem167,TMEM167A
Ralgps1,RALGPS1
Glrx,GLRX
Pip5kl1,PIP5KL1
Twist2,TWIST2
Tspyl1,TSPYL1
Mageb16,MAGEB16
Ube2e3,UBE2E3
Hist1h2ba,HIST1H2BA
AA467197,C15orf48
Abca1,ABCA1
Slc30a4,SLC30A4
Fam110c,FAM110C
Utp18,UTP18
Parp11,PARP11
Insl6,INSL6
Gm7173,CFAP47
Noxa1,NOXA1
Wdr36,WDR36
Fndc1,FNDC1
Hist1h2aa,HIST1H2AA
Ism1,ISM1
Entpd8,ENTPD8
Clcn4,CLCN4
Fscb,FSCB
Cldn4,CLDN4
Mcee,MCEE
Gm20518,DGCR2
Xrcc4,XRCC4
Ccz1,CCZ1
Dse,DSE
Lmntd1,LMNTD1
Washc1,WASHC1
Aqp4,AQP4
Nup93,NUP93
Grhl2,GRHL2
Prdm9,ZNF589
Akap1,AKAP1
Med29,MED29
Entpd3,ENTPD3
Cdhr2,CDHR2
Eloc,ELOC
Defb21,DEFB118
Armcx3,ARMCX3
Trmt11,TRMT11
Rora,RORA
Psma7,PSMA7
Akr1c21,AKR1C4
Mdfi,MDFI
Gm20431,TMEM189-UBE2V1
Gm7697,POTED
Emc6,EMC6
Aamp,AAMP
Hephl1,HEPHL1
Pdzd11,PDZD11
Gm45837,PDE2A
Tmem270,TMEM270
Chrna9,CHRNA9
Kcnk12,KCNK12
Akr1c20,AKR1C4
Mark2,MARK2
Asf1b,ASF1B
Akr1c14,AKR1C4
Tceal1,TCEAL1
Mapk8ip1,MAPK8IP1
Mphosph6,MPHOSPH6
Dars,DARS
Akr1c19,AKR1C4
Mfsd6,MFSD6
Invs,INVS
Atrx,ATRX
Zfp729a,ZNF208
Otop1,OTOP1
Emx1,EMX1
Ncan,NCAN
Tceal3,TCEAL3
Trim71,TRIM71
Tcf7l2,TCF7L2
Ptpn2,PTPN2
Zfp729b,ZNF208
Trak2,TRAK2
Spr,SPR
Tbx6,TBX6
Akr1cl,AKR1C4
Ccr4,CCR4
Ano9,ANO9
P2rx5,P2RX5
Polr2d,POLR2D
Prph2,PRPH2
Txndc16,TXNDC16
Angptl2,ANGPTL2
Lrrc14b,LRRC14B
Zbtb49,ZBTB49
Akr1c18,AKR1C4
Zfp408,ZNF408
Nemp2,NEMP2
Gm15319,POTED
Btn1a1,BTN1A1
Rsph10b,RSPH10B
Slc17a4,SLC17A4
Tmem189,TMEM189
Mettl27,METTL27
Fus,FUS
Zfp36l1,ZFP36L1
Pex3,PEX3
Chst9,CHST9
Gm10477,SAGE1
Gm21119,POTED
Acp1,ACP1
Rnf223,RNF223
Krt15,KRT15
9430038I01Rik,C10orf143
Gm9495,POTED
Ocm,OCM2
Nxpe2,NXPE2
Fn3krp,FN3KRP
Tceal5,TCEAL3
Plpp7,PLPP7
Gm45623,SMIM32
Akr1c13,AKR1C4
Lama3,LAMA3
Nol12,NOL12
Cdk6,CDK6
Adat2,ADAT2
Prkcb,PRKCB
Gm31371,POTED
Slc25a16,SLC25A16
Tceal6,TCEAL3
Tssc4,TSSC4
Gpm6b,GPM6B
Triobp,TRIOBP
Nr3c1,NR3C1
4930467E23Rik,POTED
Tmem128,TMEM128
Kctd1,KCTD1
Nfu1,NFU1
Lrrc30,LRRC30
Alkal1,ALKAL1
Msh2,MSH2
Rfx3,RFX3
Stradb,STRADB
Kcnj14,KCNJ14
Pag1,PAG1
Sema5a,SEMA5A
Zscan18,ZSCAN18
Fam26f,CALHM6
Grwd1,GRWD1
Lyar,LYAR
Pde2a,PDE2A
Cd4,CD4
Akr1c12,AKR1C4
Sfrp5,SFRP5
Pi4k2b,PI4K2B
Gm527,C14orf28
Klf2,KLF2
Cyth2,CYTH2
Zfp738,ZNF208
Ankrd36,POTED
Notch1,NOTCH1
Tslp,TSLP
Ccdc127,CCDC127
Kif4,KIF4A
Piezo2,PIEZO2
Six6,SIX6
Asxl2,ASXL2
Ebf3,EBF3
Rasef,RASEF
Fuca2,FUCA2
Frrs1l,FRRS1L
Gcc2,GCC2
Rln1,RLN2
Akr1c6,AKR1C4
Parp8,PARP8
Togaram1,TOGARAM1
Ggt1,GGTLC1
Sdhaf1,SDHAF1
Tax1bp3,TAX1BP3
Abca6,ABCA6
Tfeb,TFEB
Defb25,DEFB124
Tecpr1,TECPR1
Asic2,ASIC2
Nrgn,NRGN
Gm15557,GDF5OS
Rtn4,RTN4
Bhlha15,BHLHA15
Las1l,LAS1L
Adgrl1,ADGRL1
Bicral,BICRAL
Anapc15,ANAPC15
Gdf5,GDF5
Ttc34,TTC34
Cat,CAT
Fam204a,FAM204A
Rpl7l1,RPL7L1
Panx1,PANX1
Baalc,BAALC
Slc35e2,SLC35E2B
Slc1a6,SLC1A6
Cebpd,CEBPD
Sh3yl1,SH3YL1
Rbm47,RBM47
Lactb,LACTB
Slco1a4,SLCO1A2
Bambi,BAMBI
Sos2,SOS2
Ccdc77,CCDC77
Saa4,SAA4
Clec1a,CLEC1A
Zfp105,ZNF35
Prrc2b,PRRC2B
Glb1,GLB1
Gm45808,DHDH
Syndig1,SYNDIG1
Olfr1357,OR1I1
Zfp36,ZFP36
Mcf2,MCF2
Atxn1l,ATXN1L
Egr2,EGR2
Twnk,TWNK
Oxa1l,OXA1L
Rexo5,REXO5
Sox18,SOX18
Atp6v1c2,ATP6V1C2
Hmgb3,HMGB3
Dgcr14,ESS2
Cst7,CST7
Mrgprx1,MRGPRX1
Prr12,PRR12
Klhl28,KLHL28
Ager,AGER
Kdm5a,KDM5A
Tfap2a,TFAP2A
Eri2,ERI2
Trpc7,TRPC7
Plcxd1,PLCXD1
Mphosph10,MPHOSPH10
Setd2,SETD2
Mapk1,MAPK1
Fkbp9,FKBP9
Rps27l,RPS27L
Zfp523,ZNF76
Clec9a,CLEC9A
Tex19.1,TEX19
Ccny,CCNY
Pdgfd,PDGFD
Cep112,CEP112
Got1l1,GOT1L1
Irf9,IRF9
Sart1,SART1
Gsdmc2,GSDMC
Spred1,SPRED1
Ap5b1,AP5B1
Cacnb3,CACNB3
Rnf31,RNF31
Gna14,GNA14
Gpr83,GPR83
Glra4,GLRA4
Crtac1,CRTAC1
Kcnh6,KCNH6
Cdyl2,CDYL2
Psme2b,PSME2
Cep152,CEP152
Kcnj12,KCNJ18
Zwint,ZWINT
1700015G11Rik,CCDC179
Tex19.2,TEX19
Gm5724,SLCO1A2
Bloc1s6,BLOC1S6
Ssr1,SSR1
Vsig2,VSIG2
Wdr74,WDR74
Zkscan7,ZKSCAN7
C1rb,C1R
Scara3,SCARA3
Lmtk2,LMTK2
Tm6sf2,TM6SF2
Ppm1f,PPM1F
Cgnl1,CGNL1
C1ra,C1R
Axin2,AXIN2
Necap2,NECAP2
Ddi1,DDI1
Best1,BEST1
Pyroxd1,PYROXD1
Abhd4,ABHD4
Iapp,IAPP
Lyrm1,LYRM1
Apmap,APMAP
Tmem55b,PIP4P1
Ptprm,PTPRM
Paip2b,PAIP2B
Rapgef5,RAPGEF5
Dnah7a,DNAH7
Dhdh,DHDH
Exog,EXOG
